model,parameter,n_eff,Rhat
h1_0.16,fmort[186],315,1.01698199073556
h1_0.16,fmort[198],335,1.01315120827654
h1_0.16,fmort[197],337,1.01392461894306
h1_0.16,fmort[187],341,1.01441167424567
h1_0.16,fmort[185],344,1.01586582562458
h1_0.16,fmort[196],351,1.0126278676596
h1_0.16,log_selcoffs_fsh[4][65],352,1.01728134572634
h1_0.16,fmort[195],358,1.01290502408264
h1_0.16,fmort[199],364,1.00955070425493
h1_0.16,log_selcoffs_fsh[4][47],366,1.01320382657581
h2_0.16,fmort[186],225,1.03341709207794
h2_0.16,fmort[198],231,1.03122254226597
h2_0.16,fmort[197],234,1.03178883524015
h2_0.16,fmort[185],236,1.02784134892752
h2_0.16,fmort[196],244,1.03032079502121
h2_0.16,log_selcoffs_fsh[4][64],250,1.0316074701220601
h2_0.16,log_selcoffs_fsh[4][73],252,1.03170054245569
h2_0.16,fmort[187],253,1.02991689073294
h2_0.16,log_selcoffs_fsh[4][65],254,1.02951332729795
h2_0.16,fmort[199],255,1.02900598325689
