Year,Industrial_CPUE,With_1pct_creep,SD_CPUE,CV,Sampling_coverage
2002,0.205485667,0.205485667,0.06125903,0.298,30%
2003,0.34984962,0.34638576,0.07480482,0.216,58%
2004,0.37677961,0.36935556,0.08137908,0.220,56%
2005,0.21969282,0.21323169,0.04854946,0.228,52%
2006,0.36261068,0.34846173,0.06969235,0.200,73%
2007,0.45830349,0.43606004,0.10819177,0.248,44%
2008,0.43784448,0.41246931,0.11164109,0.271,37%
2009,0.24679167,0.23018704,0.14232165,0.618,7%
2010,,,,0.922,3%
2011,0.40673371,0.37189283,0.11187615,0.301,30%
2012,0.4895882,0.44321781,0.12436736,0.281,34%
2013,0.26073985,0.23370731,0.1118487,0.479,12%
2014,0.31813675,0.28233021,0.10362541,0.367,20%
2015,,,,0.349,22%
2016,,,,0.341,23%
2017,,,,0.223,55%
2018,0.48857424,0.4166665,0.0833333,0.200,71%
2019,0.52573994,0.44392297,0.09085114,0.205,65%
2020,0.56681972,0.4738711,0.09477422,0.200,68%
2021,0.58830137,0.48696053,0.09739211,0.200,69%
2022,0.60318093,0.4943336,0.11438979,0.231,50%
2023,0.55401906,0.44954778,0.09061786,0.202,67%
2024,0.52714611,0.42350719,0.08885642,0.210,61%
2025,0.50085801,0.39840339,0.08228857,0.207,63%
